id,src,txt
4931,books,they stand and exit archway of the art galley as the apprentices giggle then vovina sings .
108407,books,she grabbed angells hair and she sank her in the water .
188615,books,i tightly my teddy bear hug around dirks waist as he giggles like a girl .
189851,books,rann quickly grabs my right hand jogging out the pink villa into a bright yellow sunshine while we giggle and snigger like two little kids at elementary school playground recess .
114766,books,we park on the soft blanket cuddling inside his chest against the silky shirt with our bare naked toes in the shallow creek as bartholomew says .
58570,books,"andrea drops her oar in the water and it starts floating off , so matt leaps into the water and rescues the oar and returns it to her with a smile ."
46060,books,trumpets honk with a set of alto notes as hico calls .
160167,books,"dallas ignores the baby angel while neck snapping his skull to bo , talking ."
152924,books,women turn gaga over men singing with their guitars strapped on .
131374,books,"amira took a deep breath , held up the stick before her , and said , we do have light ."
