id,src,txt
95723,qqp,Why is devaluing a country's currency bad? Example. China
10723,qqp,Why is the DC cinematic universe failing while Marvel's continues to be successful?
114111,qqp,Election commission has called for banning of anonymous contributions above 2000 to political parties. whats your take?
41227,qqp,Who do you think will win the 2013-2014 Super Bowl?
146674,qqp,"Why did so many news media, poll pundits and analysts fail to predict the 2016 presidential election?"
131420,qqp,What is the price per kilogram of bronze? As of 10/09/2016.
102682,qqp,Why does the Obama administration continue to refer to ISIS as ISIL or Daesh?
57073,qqp,Pornography vs social networking. Which business model is better? (ignoring the legal aspects)
13594,qqp,Sports Cars: Are 1990s Mazda Miatas easy to work on?
86746,qqp,"[Spoiler] In Civil War, how is it possible that Captain America and the Winter Soldier defeated Iron Man in combat?"
