id,src,txt
3527,qnli,"CBC announced on April 4, 2012, that it will shut down all of its approximately 620 analogue television transmitters on July 31, 2012 with no plans to install digital transmitters in their place, thus reducing the total number of the corporation's television transmitters across the country down to 27."
30395,qnli,"It serves about 35,000,000 passengers each year and continues to expand, recently opening a new 11,000 foot (3,355 meter) runway."
1058,qnli,The program requires 70% of that subsidy to go to carriers who offer passenger service to the communities.
9975,qnli,"In April 2008, the city announced a $300-million stimulus plan to create jobs and revitalize neighborhoods, financed by city bonds and paid for by earmarking about 15% of the wagering tax."
39869,qnli,"In 2014, the Philadelphia City Council refused to conduct hearings on a $1.86 billion sale of PGW, part of a two-year effort that was proposed by the mayor."
9292,qnli,"Yale also owns seven forests in Connecticut, Vermont, and New Hampshire—the largest of which is the 7,840-acre (31.7 km2) Yale-Myers Forest in Connecticut's Quiet Corner—and nature preserves including Horse Island."
22741,qnli,"To finance state government operations, Alaska depends primarily on petroleum revenues and federal subsidies."
47231,qnli,Large swaths of the Alaskan coastline offer wind and geothermal energy potential as well.
36628,qnli,New York City is supplied with drinking water by the protected Catskill Mountains watershed.
56133,qnli,The main risk of exposure to depleted uranium is chemical poisoning by uranium oxide rather than radioactivity (uranium being only a weak alpha emitter).
