id,src,txt
27253,qnli,Guglielmo Marconi invented the radio.
22914,qnli,"In October 1993, elements of the increasingly marginalised army initiated a failed coup in Misrata, while in September 1995, Islamists launched an insurgency in Benghazi, and in July 1996 an anti-Gaddafist football riot broke out in Tripoli."
36317,qnli,Swaziland's public finances deteriorated in the late 1990s following sizeable surpluses a decade earlier.
50232,qnli,"A number of assassination attempts against Gaddafi were foiled, and in turn, 1989 saw the security forces raid mosques believed to be centres of counter-revolutionary preaching."
31804,qnli,"The uses of copper in art were not limited to currency: it was used by Renaissance sculptors, in photographic technology known as the daguerreotype, and the Statue of Liberty."
31098,qnli,"Seminole Indians based in East Florida began raiding Georgia settlements, and offering havens for runaway slaves."
47609,qnli,Seleucia replaced Babylon as the metropolis of the lower Tigris.
20013,qnli,Classical Sumer ends with the rise of the Akkadian Empire in the 23rd century BC.
9593,qnli,"Following a peak in growth in 1979, the Liberian economy began a steady decline due to economic mismanagement following the 1980 coup."
17470,qnli,"Greece: On March 24, 2008, the Olympic Flame was ignited at Olympia, Greece, site of the ancient Olympic Games."
