id,src,txt
44523,qnli,"Nonetheless, many children under the age of 13 do work, even in the most developed countries of the EU."
35008,qnli,Interpreters have sometimes played crucial roles in history.
45423,qnli,One governor of the company was even reported as saying in 1864 that he would rather have the saltpetre made than the tax on salt.
41073,qnli,The Restored Toungoo kings created a legal and political framework whose basic features would continue well into the 19th century.
51690,qnli,"On the other hand, the rules themselves are designed to assure a satisfying life, and provide a perfect springboard for the higher attainments."
20026,qnli,Georgian architecture is characterized by its proportion and balance; simple mathematical ratios were used to determine the height of a window in relation to its width or the shape of a room as a double cube.
46390,qnli,Seeds consist of an endosporic megasporangium surrounded by one or two sheathing layers (integuments).
9238,qnli,"Popular farmers' markets, managed by the local non-profit CitySeed, set up shop weekly in several neighborhoods, including Westville/Edgewood Park, Fair Haven, Upper State Street, Wooster Square, and Downtown/New Haven Green."
41799,qnli,"In September 1940, during the Second World War, pro-Gaullist French officers took control of Ubangi-Shari and General Leclerc established his headquarters for the Free French Forces in Bangui."
53817,qnli,"Zhang Rongan, a Chinese Australian student organising pro-Beijing demonstrations, told the press that Chinese diplomats were assisting with the organization of buses, meals and accommodation for pro-Beijing demonstrators, and helping them organise a ""peaceful show of strength""."
