id,src,txt
115024,books,"lautre jour en rangeant ma malle ltage dans la salle de jeux , je suis tombe sur des poupes russes quelle mavait offertes lors de mon premier dpart , alors quelle restait l-bas ."
61478,books,il huma lair encore frais et se surprit dans le reflet de la porte vitre avec une expression quil attribuait son pre .
74869,books,il lui dit : tu ne dors pas .
182371,books,elle me rappela que nous nous tions rencontr vingt ans auparavant .
127008,books,"elle est en train presque de pleurer , on ne sait pas trs bien le mot pour lmotion quelle prouve , moi jappelle a le renoncement rire ."
106177,books,"sybille corrigea en disant quelle avait un corps muscl , mais un visage grand nez ."
58488,books,"chauffer leau , verser doucement , attendre , voir lhuile rgurgiter , tre satisfait car la ligne de graisse sabaisse , ce qui veut dire que lvacuation commence , recommencer ."
119647,books,la peau abime la renvoyait lincertitude de chaque jour .
133012,books,ctait pourtant le meilleur endroit pour allonger ses jambes fluettes .
125169,books,"`` i do not comprehend 'nuclear option , ' but if by this you mean- '' he suddenly cut off , his head turning sharply to the side as he sniffed the air ."
