id,src,txt
14144,wiki,"Mweya Airport is located in Mweya, Kasese District, in western Uganda, approximately 283 kilometres (176 mi), by air, west of Entebbe International Airport, the country's largest civilian and military airport."
33128,wiki,He took 14 wickets with a best analysis of six for 57.
63302,wiki,"After receiving a bye in the opening round, Kvitová was upset by fellow Czech Barbora Záhlavová-Strýcová, whom she had beaten in Paris the previous month, in the second round."
46322,wiki,"The Hobhouse Baronetcy, of Westbury in the County of Wiltshire, is a title in the Baronetage of the United Kingdom."
69062,wiki,"The Holyoake-Goodricke Baronetcy, of Ribston Hall in the County of York and of Studley Castle in the County of Warwick, was a title in the Baronetage of the United Kingdom."
63313,wiki,"Seeded first, Kvitová reached her fourth final of the year, but would end up losing to Slovak Magdaléna Rybáriková."
128722,wiki,"Juan Ignacio Reyes González (born 15 December 1981 in Mexico City) is a Paralympic swimmer who has won medals at the 2000, 2004, 2008, and 2012 Summer Paralympics."
86297,wiki,Of the population in the municipality 473 or about 27.8% were born in Winznau and lived there in 2000.
174535,wiki,"Brooksville–Tampa Bay Regional Airport covers an area of 2,498 acres (1,011 ha) which contains two concrete paved runways: 9/27 measuring 7,002 x 150 ft (2,134 x 46 m) and 3/21 measuring 5,015 x 150 ft (1,529 x 46 m).  "
63303,wiki,"Kvitová then received a wildcard into the Bahamas Women's Open, but she was upset in the first round by Kristina Barrois in three sets, marking a third consecutive defeat."
