id,src,txt
74349,qqp,Why small towns of North India are getting flooded by unisex salons and spa?
134275,qqp,Which countries you would never visit and why?
123756,qqp,Does plucking hair stop it from growing back?
88385,qqp,What are the best companies to transfer money around the world?
129495,qqp,What is the funniest person you have ever met and why?
4526,qqp,What is your review of Illinois Institute of Technology?
54156,qqp,"How do you pronounce ""talk""?"
20353,qqp,What is cause of gravity?
142162,qqp,What is the best digital marketing course online for a beginner?
137614,qqp,What were the cons and pros of having a millet system?
