id,src,txt
100758,wiki,The survey also mentions a mill.
29928,wiki,In Möhlin about 72.6% of the population (between age 25-64) have completed either non-mandatory upper secondary education or additional higher education (either university or a Fachhochschule).  
29920,wiki,841 people are employed in the secondary sector and there are 84 businesses in this sector.  
86345,wiki,"In Winznau about 785 or (46.2%) of the population have completed non-mandatory upper secondary education, and 168 or (9.9%) have completed additional higher education (either university or a Fachhochschule)."
196687,wiki,Timetable posters and a telephone provide train running information.
65865,wiki,"1,801 people are employed in the secondary sector and there are 148 businesses in this sector.  "
133255,wiki,In the 2007 federal election the most popular party was the CVP which received 32.78% of the vote.
103285,wiki,The following outline is provided as an overview of and topical guide to Nauru:
121862,wiki,It was created in January 2017 by the merger of the former communautés de communes Canton de Fruges et environs and Canton d'Hucqueliers et environs.
109494,wiki,"Vert, a Bar wavy Argent."
