id,src,txt
68418,qqp,"As of the end of 2010, what percentage of the US workforce has a high school diploma with no additional schooling?"
68972,qqp,U.S. Immigration: Can an H1-B visa be extended by future employers beyond 6 years based on an approved I-140 through the previous employer?
55698,qqp,"In ""Romeo and Juliet, why does Romeo wish he was a glove?"
83815,qqp,"From where I get the song """"I DONT WANNA LIVE FOREVER"""" from the movie Fifty shades darker?"
131085,qqp,Does the 'last seen' indicator on Google hangouts show when the person was last online on Google hangouts or when was the last time he/she opened your chat window?
6313,qqp,"US Immigration: If my F1 visa is rejected, can I apply for the 214(d)(3) waiver to get it issued?"
63713,qqp,"In an arranged marriage, how do you know if he/she is the one..?"
60722,qqp,"How do you say ""Does it snow every year here?"" in German?"
103792,qqp,"The Wire (TV series): Why did Cheese think the dog fight was fixed in episode ""All Due Respect""?"
143569,qqp,"Why did Severus Snape said ""Yes, but he thinks it is her son?"""
