id,src,txt
141312,wiki,"A tetratricopeptide repeat region, a protein–protein interaction domain most often found in multiprotein complexes, is present in the amino-terminal region."
122471,wiki,All the voices sound much more like French voices.  
127383,wiki,"He won the Howard Zelling prize for Constitutional Law, the Stow Prize, and the David Murray Scholarship for his honours dissertation on employment law."
29131,wiki,He was also a founder and first Shepherd of The Lambs.
198571,wiki,"However, a sewerage system for all residents has not yet been completed."
2301,wiki,"Charles Horace Watkins (1884–1976) was an aviation pioneer who built the first engine-powered aeroplane in Wales, a red monoplane called the Robin Goch."
62947,wiki,"This is because high-acid foods prevent the growth of spores of the bacterium Clostridium botulinum, which can't be killed by boiling."
108729,wiki,Etoile was two days out from the Hogue without having made any captures.
106251,wiki,"After 1945, the government of Republic of China transformed the Shinto shrine into the Kaohsiung Martyrs' Shrine (高雄市忠烈祠 Gāoxióng shì zhōngliècí)."
164580,wiki,"From the Latrobe University bus link on Plenty Road there is access to many suburbs throughout Melbourne, even connecting the north to the south."
